iter	Passed	Remaining
0	162	162003
1	173	86368
2	184	61183
3	193	48300
4	204	40613
5	213	35408
6	222	31585
7	233	28901
8	242	26706
9	251	24940
10	263	23675
11	273	22535
12	282	21459
13	292	20604
14	302	19862
15	313	19273
16	323	18733
17	333	18199
18	344	17768
19	355	17441
20	366	17096
21	377	16791
22	388	16504
23	399	16249
24	410	16005
25	420	15764
26	432	15603
27	444	15430
28	455	15254
29	467	15131
30	481	15059
31	494	14947
32	505	14815
33	517	14701
34	530	14631
35	542	14535
36	556	14495
37	568	14392
38	581	14317
39	594	14262
40	606	14186
41	619	14141
42	633	14106
43	645	14030
44	658	13971
45	670	13914
46	684	13871
47	694	13781
48	707	13725
49	719	13670
50	732	13631
51	746	13602
52	757	13536
53	768	13461
54	780	13410
55	795	13409
56	810	13413
57	824	13395
58	840	13398
59	854	13393
60	868	13374
61	882	13358
62	898	13370
63	913	13365
64	929	13376
65	944	13366
66	958	13347
67	974	13350
68	989	13353
69	1004	13350
70	1020	13348
71	1035	13348
72	1050	13345
73	1064	13326
74	1080	13322
75	1097	13337
76	1111	13327
77	1125	13299
78	1139	13280
79	1152	13256
80	1166	13229
81	1178	13197
82	1193	13187
83	1208	13174
84	1222	13158
85	1236	13137
86	1251	13129
87	1265	13114
88	1279	13101
89	1294	13089
90	1309	13082
91	1324	13072
92	1339	13062
93	1355	13064
94	1371	13064
95	1386	13058
96	1402	13054
97	1417	13044
98	1433	13043
99	1446	13019
100	1460	13001
101	1474	12981
102	1489	12970
103	1505	12969
104	1522	12974
105	1537	12965
106	1549	12934
107	1561	12900
108	1576	12887
109	1590	12867
110	1602	12835
111	1614	12798
112	1624	12754
113	1636	12715
114	1647	12681
115	1663	12679
116	1679	12672
117	1694	12665
118	1708	12645
119	1724	12647
120	1740	12642
121	1755	12632
122	1769	12614
123	1783	12597
124	1798	12589
125	1814	12587
126	1829	12578
127	1845	12570
128	1860	12564
129	1875	12554
130	1891	12547
131	1906	12533
132	1920	12518
133	1936	12514
134	1951	12506
135	1967	12497
136	1981	12483
137	1995	12464
138	2009	12444
139	2022	12423
140	2037	12414
141	2054	12412
142	2070	12406
143	2084	12393
144	2098	12374
145	2112	12357
146	2127	12345
147	2141	12328
148	2156	12317
149	2171	12306
150	2185	12288
151	2201	12280
152	2215	12266
153	2229	12249
154	2246	12245
155	2260	12227
156	2274	12212
157	2288	12195
158	2302	12179
159	2315	12156
160	2329	12138
161	2344	12129
162	2359	12115
163	2373	12097
164	2388	12088
165	2402	12069
166	2416	12055
167	2430	12038
168	2448	12040
169	2465	12038
170	2479	12021
171	2495	12011
172	2510	12001
173	2524	11985
174	2538	11966
175	2553	11953
176	2568	11942
177	2579	11913
178	2591	11887
179	2603	11859
180	2614	11828
181	2624	11797
182	2639	11782
183	2651	11759
184	2664	11739
185	2679	11726
186	2695	11718
187	2709	11702
188	2724	11691
189	2740	11683
190	2755	11669
191	2771	11661
192	2786	11651
193	2801	11640
194	2816	11627
195	2831	11613
196	2844	11595
197	2858	11579
198	2873	11567
199	2888	11555
200	2904	11544
201	2919	11532
202	2933	11517
203	2947	11499
204	2961	11484
205	2975	11469
206	2989	11454
207	3004	11439
208	3017	11421
209	3034	11413
210	3049	11403
211	3064	11390
212	3079	11380
213	3094	11364
214	3108	11347
215	3122	11332
216	3135	11315
217	3150	11299
218	3164	11284
219	3179	11271
220	3194	11260
221	3209	11248
222	3224	11235
223	3239	11221
224	3254	11210
225	3270	11200
226	3286	11190
227	3301	11177
228	3317	11168
229	3331	11152
230	3346	11140
231	3361	11128
232	3376	11114
233	3392	11104
234	3406	11088
235	3419	11071
236	3433	11055
237	3447	11037
238	3461	11023
239	3475	11007
240	3491	10996
241	3506	10981
242	3519	10964
243	3533	10948
244	3550	10940
245	3562	10920
246	3574	10896
247	3585	10871
248	3596	10846
249	3607	10823
250	3621	10806
251	3633	10786
252	3646	10765
253	3656	10739
